dose,bloco,grau.flo
0,1,65
0,2,60
0,3,62
0,4,64
0,1,60
0,2,59
0,3,58
0,4,58
10,1,61
10,2,62
10,3,63
10,4,63
10,1,51
10,2,50
10,3,56
10,4,58
20,1,62
20,2,58
20,3,60
20,4,54
20,1,39
20,2,42
20,3,42
20,4,45
40,1,60
40,2,58
40,3,59
40,4,58
40,1,51
40,2,50
40,3,48
40,4,46
60,1,73
60,2,68
60,3,62
60,4,63
60,1,59
60,2,55
60,3,54
60,4,56
